x-axis,1,2,3
second,Ampere,Volt,Volt
-1.407500E+00,-205.528E-03,+50.090E-03,-164.874E-03
-1.405000E+00,-205.528E-03,+47.578E-03,-177.437E-03
-1.402500E+00,-205.528E-03,+50.090E-03,-164.874E-03
-1.400000E+00,-205.528E-03,+42.553E-03,-164.874E-03
-1.397500E+00,-205.528E-03,+42.553E-03,-164.874E-03
-1.395000E+00,-205.528E-03,+40.040E-03,-177.437E-03
-1.392500E+00,-205.528E-03,+40.040E-03,-177.437E-03
-1.390000E+00,-205.528E-03,+37.528E-03,-164.874E-03
-1.387500E+00,-205.528E-03,+40.040E-03,-164.874E-03
-1.385000E+00,-205.528E-03,+37.528E-03,-177.437E-03
-1.382500E+00,-205.528E-03,+35.015E-03,-164.874E-03
-1.380000E+00,-205.528E-03,+37.528E-03,-164.874E-03
-1.377500E+00,-205.528E-03,+35.015E-03,-164.874E-03
-1.375000E+00,-205.528E-03,+40.040E-03,-164.874E-03
-1.372500E+00,-205.528E-03,+40.040E-03,-164.874E-03
-1.370000E+00,-205.528E-03,+40.040E-03,-164.874E-03
-1.367500E+00,-205.528E-03,+45.065E-03,-177.437E-03
-1.365000E+00,-205.528E-03,+40.040E-03,-164.874E-03
-1.362500E+00,-205.528E-03,+42.553E-03,-164.874E-03
-1.360000E+00,-205.528E-03,+47.578E-03,-164.874E-03
-1.357500E+00,-205.528E-03,+42.553E-03,-164.874E-03
-1.355000E+00,-205.528E-03,+45.065E-03,-164.874E-03
-1.352500E+00,-205.528E-03,+40.040E-03,-164.874E-03
-1.350000E+00,-205.528E-03,+47.578E-03,-164.874E-03
-1.347500E+00,-205.528E-03,+40.040E-03,-164.874E-03
-1.345000E+00,-205.528E-03,+42.553E-03,-164.874E-03
-1.342500E+00,-205.528E-03,+40.040E-03,-177.437E-03
-1.340000E+00,-205.528E-03,+47.578E-03,-164.874E-03
-1.337500E+00,-205.528E-03,+40.040E-03,-164.874E-03
-1.335000E+00,-205.528E-03,+47.578E-03,-164.874E-03
-1.332500E+00,-205.528E-03,+42.553E-03,-164.874E-03
-1.330000E+00,-205.528E-03,+40.040E-03,-164.874E-03
-1.327500E+00,-205.528E-03,+40.040E-03,-164.874E-03
-1.325000E+00,-205.528E-03,+37.528E-03,-164.874E-03
-1.322500E+00,-205.528E-03,+42.553E-03,-164.874E-03
-1.320000E+00,-205.528E-03,+40.040E-03,-164.874E-03
-1.317500E+00,-180.402E-03,+40.040E-03,-177.437E-03
-1.315000E+00,-205.528E-03,+42.553E-03,-164.874E-03
-1.312500E+00,-205.528E-03,+40.040E-03,-164.874E-03
-1.310000E+00,-205.528E-03,+40.040E-03,-164.874E-03
-1.307500E+00,-205.528E-03,+35.015E-03,-164.874E-03
-1.305000E+00,-205.528E-03,+40.040E-03,-164.874E-03
-1.302500E+00,-205.528E-03,+32.503E-03,-164.874E-03
-1.300000E+00,-205.528E-03,+40.040E-03,-177.437E-03
-1.297500E+00,-205.528E-03,+32.503E-03,-177.437E-03
-1.295000E+00,-205.528E-03,+42.553E-03,-164.874E-03
-1.292500E+00,-205.528E-03,+37.528E-03,-164.874E-03
-1.290000E+00,-205.528E-03,+40.040E-03,-164.874E-03
-1.287500E+00,-205.528E-03,+37.528E-03,-164.874E-03
-1.285000E+00,-205.528E-03,+37.528E-03,-164.874E-03
-1.282500E+00,-205.528E-03,+40.040E-03,-164.874E-03
-1.280000E+00,-205.528E-03,+37.528E-03,-177.437E-03
-1.277500E+00,-205.528E-03,+45.065E-03,-177.437E-03
-1.275000E+00,-205.528E-03,+40.040E-03,-164.874E-03
-1.272500E+00,-205.528E-03,+40.040E-03,-177.437E-03
-1.270000E+00,-205.528E-03,+42.553E-03,-164.874E-03
-1.267500E+00,-205.528E-03,+40.040E-03,-164.874E-03
-1.265000E+00,-205.528E-03,+47.578E-03,-164.874E-03
-1.262500E+00,-205.528E-03,+40.040E-03,-177.437E-03
-1.260000E+00,-205.528E-03,+42.553E-03,-177.437E-03
-1.257500E+00,-205.528E-03,+45.065E-03,-177.437E-03
-1.255000E+00,-205.528E-03,+37.528E-03,-164.874E-03
-1.252500E+00,-205.528E-03,+42.553E-03,-164.874E-03
-1.250000E+00,-205.528E-03,+40.040E-03,-164.874E-03
-1.247500E+00,-205.528E-03,+42.553E-03,-164.874E-03
-1.245000E+00,-205.528E-03,+42.553E-03,-164.874E-03
-1.242500E+00,-205.528E-03,+40.040E-03,-177.437E-03
-1.240000E+00,-205.528E-03,+42.553E-03,-177.437E-03
-1.237500E+00,-205.528E-03,+42.553E-03,-164.874E-03
-1.235000E+00,-205.528E-03,+40.040E-03,-164.874E-03
-1.232500E+00,-205.528E-03,+45.065E-03,-164.874E-03
-1.230000E+00,-205.528E-03,+40.040E-03,-164.874E-03
-1.227500E+00,-205.528E-03,+42.553E-03,-164.874E-03
-1.225000E+00,-205.528E-03,+40.040E-03,-177.437E-03
-1.222500E+00,-205.528E-03,+40.040E-03,-164.874E-03
-1.220000E+00,-205.528E-03,+42.553E-03,-164.874E-03
-1.217500E+00,-205.528E-03,+37.528E-03,-164.874E-03
-1.215000E+00,-205.528E-03,+37.528E-03,-177.437E-03
